Team,Season,FGM < 5FT,FGA < 5FT,FG% < 5FT,FGM 5-9FT,FGA 5-9FT,FG% 5-9FT,FGM 10-14FT,FGA 10-14FT,FG% 10-14FT,FGM 15-19FT,FGA 15-19FT,FG% 15-19FT,FGM 20-24FT,FGA 20-24FT,FG% 20-24FT,FGM 25-29FT,FGA 25-29FT,FG% 25-29FT
Atlanta Hawks,2010-11,13.8,22.8,60.6,4.0,9.1,43.4,2.2,5.8,37.8,7.3,16.4,44.4,6.5,16.5,39.2,2.5,7.5,33.5
Boston Celtics,2010-11,17.4,27.8,62.5,2.6,6.5,39.7,3.0,6.7,44.7,6.9,16.2,42.9,5.5,13.6,40.5,1.4,4.8,29.8
Charlotte Bobcats,2010-11,17.3,30.6,56.5,2.5,6.6,37.9,2.1,5.6,38.4,6.4,15.8,40.6,4.1,10.6,38.9,2.6,8.2,31.7
Chicago Bulls,2010-11,17.9,30.2,59.1,2.4,6.3,38.1,2.2,5.8,38.9,6.3,15.5,40.8,5.7,15.0,37.8,2.6,7.1,36.9
Cleveland Cavaliers,2010-11,16.1,28.1,57.2,3.7,10.4,35.7,2.0,6.1,32.3,5.1,12.9,39.4,5.4,14.7,36.5,2.9,8.5,34.6
Dallas Mavericks,2010-11,14.5,22.7,63.9,3.7,9.0,40.5,3.3,7.7,42.2,6.5,13.9,46.5,7.2,18.5,38.9,2.3,6.4,35.9
Denver Nuggets,2010-11,19.7,33.3,59.2,2.1,5.6,37.7,1.5,4.0,37.8,5.3,12.4,43.0,6.0,15.1,39.3,3.7,9.8,38.0
Detroit Pistons,2010-11,17.2,28.7,59.9,3.2,8.4,37.9,2.9,8.0,35.5,6.4,16.1,39.8,5.0,12.3,40.3,2.6,7.2,36.7
Golden State Warriors,2010-11,17.7,29.5,60.2,3.2,8.8,36.5,1.9,5.7,34.1,6.6,15.6,42.4,6.0,15.3,39.1,4.1,10.6,38.9
Houston Rockets,2010-11,17.0,28.7,59.4,4.2,11.0,38.0,2.4,6.1,40.0,5.3,12.8,41.2,6.4,16.3,39.4,3.2,9.7,33.4
Indiana Pacers,2010-11,15.5,26.8,58.0,3.2,8.6,37.7,2.7,7.2,37.0,6.7,16.0,41.8,4.6,12.4,37.5,3.8,11.4,33.6
Los Angeles Clippers,2010-11,19.9,32.9,60.6,2.8,7.9,35.7,1.7,4.8,35.1,4.4,11.7,37.7,4.7,13.0,35.9,3.3,9.7,33.6
Los Angeles Lakers,2010-11,17.1,27.7,61.8,4.2,10.4,40.4,3.5,7.9,44.4,5.1,12.5,41.2,5.0,14.4,34.9,3.1,9.0,34.7
Memphis Grizzlies,2010-11,20.0,33.1,60.4,5.2,12.8,40.6,2.7,6.9,38.8,5.3,13.3,39.5,4.3,11.4,37.6,1.5,4.8,32.3
Miami Heat,2010-11,15.4,23.6,65.3,2.9,6.8,42.9,2.3,6.0,37.8,6.9,15.7,43.8,7.2,17.3,41.4,2.2,6.9,32.2
Milwaukee Bucks,2010-11,14.1,25.7,54.8,3.3,8.9,37.5,2.9,7.5,38.5,6.4,15.9,39.9,5.0,12.6,39.5,2.7,8.8,30.5
Minnesota Timberwolves,2010-11,15.2,27.2,56.1,5.0,13.3,37.8,2.5,6.4,38.3,5.5,13.1,41.5,6.9,17.2,40.2,2.5,7.7,33.0
New Jersey Nets,2010-11,14.3,25.3,56.4,4.6,11.0,41.5,2.8,7.4,37.7,6.3,15.7,40.4,5.4,14.5,36.9,2.2,6.5,34.0
New Orleans Hornets,2010-11,14.0,23.9,58.4,4.2,10.2,40.9,2.9,7.5,38.7,7.5,16.7,45.2,5.2,14.1,37.0,2.0,5.4,37.7
New York Knicks,2010-11,17.0,27.9,60.8,3.1,8.2,37.1,2.1,5.4,39.1,4.7,11.9,39.5,7.8,18.8,41.4,3.6,11.2,32.6
Oklahoma City Thunder,2010-11,17.7,28.1,62.9,2.6,7.7,33.8,3.1,7.6,40.3,6.7,16.1,41.5,5.5,15.0,36.8,1.9,5.8,31.8
Orlando Magic,2010-11,15.4,24.6,62.7,2.9,7.6,38.0,2.4,5.8,41.1,4.5,10.6,42.0,6.5,16.4,39.3,4.4,12.5,35.4
Philadelphia 76ers,2010-11,16.0,26.1,61.0,3.9,9.6,39.9,4.1,10.4,39.7,7.3,17.8,41.1,4.0,9.9,40.3,2.8,8.2,34.0
Phoenix Suns,2010-11,16.6,26.2,63.6,3.5,8.9,39.8,3.3,7.5,44.4,5.3,13.0,41.1,7.1,18.5,38.3,3.4,9.2,36.6
Portland Trail Blazers,2010-11,16.8,27.8,60.2,3.2,8.5,37.3,2.8,7.3,38.3,4.9,13.3,37.0,6.8,18.3,37.2,1.5,4.8,31.0
Sacramento Kings,2010-11,18.5,31.1,59.6,3.5,10.1,34.8,2.8,7.0,39.9,6.3,16.5,38.2,5.2,13.5,38.5,1.9,6.4,29.1
San Antonio Spurs,2010-11,16.2,26.5,61.3,4.9,11.1,43.9,2.7,6.9,39.7,5.0,12.0,41.7,7.1,17.7,39.9,2.5,6.4,38.4
Toronto Raptors,2010-11,18.7,31.4,59.5,3.5,8.3,41.7,2.9,6.7,43.2,6.3,15.5,40.6,5.5,15.1,36.4,1.5,4.9,29.7
Utah Jazz,2010-11,17.5,28.9,60.7,3.8,9.5,40.1,2.9,7.1,40.1,5.8,14.3,40.6,5.7,15.4,37.2,1.7,4.9,33.8
Washington Wizards,2010-11,16.8,28.8,58.4,3.5,9.1,38.5,3.0,8.3,36.6,7.0,17.9,39.2,4.7,12.9,36.4,2.0,6.4,31.6
